SD20,26,03,01,00,00,39,    0.23,   23.37, 1021.48,   -70.3,   34.48,746E
SD20,26,03,01,00,10,39,    0.23,   23.30, 1021.46,   -70.2,   34.56,0E88
SD20,26,03,01,00,20,39,    0.23,   23.27, 1021.37,   -69.5,   34.57,2A15
SD20,26,03,01,00,40,39,    0.23,   23.19, 1021.41,   -69.8,   34.62,74F1
SD20,26,03,01,00,50,39,    0.23,   23.18, 1021.39,   -69.6,   34.58,91BC
SD20,26,03,01,01,00,39,    0.23,   23.13, 1021.49,   -70.5,   34.62,5FBB
SD20,26,03,01,01,10,39,    0.23,   23.10, 1021.48,   -70.4,   34.62,F739
SD20,26,03,01,01,30,39,    0.23,   23.05, 1021.45,   -70.1,   34.60,C477
SD20,26,03,01,01,40,39,    0.22,   23.00, 1021.44,   -69.9,   34.67,D57B
SD20,26,03,01,01,50,39,    0.23,   22.96, 1021.34,   -69.2,   34.65,DAB2
SD20,26,03,01,02,00,39,    0.22,   22.96, 1021.35,   -69.3,   34.59,0A55
SD20,26,03,01,02,20,39,    0.22,   22.91, 1021.23,   -68.3,   34.57,7E73
SD20,26,03,01,02,30,39,    0.22,   22.89, 1021.13,   -67.5,   34.55,FC37
SD20,26,03,01,02,40,39,    0.22,   22.86, 1021.09,   -67.2,   34.56,4BAF
SD20,26,03,01,02,50,39,    0.22,   22.78, 1020.96,   -66.1,   34.59,EA34
SD20,26,03,01,03,10,39,    0.22,   22.78, 1020.97,   -66.1,   34.50,EB0E
SD20,26,03,01,03,20,39,    0.22,   22.72, 1020.85,   -65.1,   34.55,AF61
SD20,26,03,01,03,30,39,    0.22,   22.69, 1020.84,   -65.1,   34.55,2162
SD20,26,03,01,03,40,39,    0.22,   22.68, 1020.88,   -65.4,   34.52,6710
SD20,26,03,01,04,00,39,    0.22,   22.60, 1020.82,   -64.9,   34.54,1C27
SD20,26,03,01,04,10,39,    0.22,   22.61, 1020.79,   -64.7,   34.48,AC0F
SD20,26,03,01,04,20,39,    0.22,   22.57, 1020.86,   -65.2,   34.47,56A8
SD20,26,03,01,04,30,39,    0.22,   22.57, 1020.87,   -65.4,   34.42,2969
SD20,26,03,01,04,50,39,    0.22,   22.51, 1020.82,   -64.9,   34.41,7ABB
SD20,26,03,01,05,00,39,    0.22,   22.47, 1020.81,   -64.9,   34.41,E505
SD20,26,03,01,05,10,39,    0.22,   22.45, 1020.81,   -64.8,   34.38,B7DA
SD20,26,03,01,05,20,39,    0.22,   22.42, 1020.80,   -64.7,   34.39,040E
SD20,26,03,01,05,40,39,    0.22,   22.33, 1020.94,   -65.9,   34.43,3DC6
SD20,26,03,01,05,50,39,    0.22,   22.28, 1020.92,   -65.7,   34.44,F131
SD20,26,03,01,06,00,39,    0.22,   22.27, 1020.92,   -65.7,   34.37,E16E
SD20,26,03,01,06,10,39,    0.22,   22.28, 1020.94,   -65.9,   34.33,822E
SD20,26,03,01,06,30,39,    0.22,   22.25, 1021.07,   -67.0,   34.24,81FA
SD20,26,03,01,06,40,39,    0.22,   22.19, 1021.12,   -67.4,   34.30,CFB5
SD20,26,03,01,06,50,39,    0.22,   22.17, 1021.12,   -67.4,   34.27,D0A0
SD20,26,03,01,07,00,39,    0.22,   22.15, 1021.13,   -67.5,   34.36,02D4
SD20,26,03,01,07,20,39,    0.22,   22.51, 1021.12,   -67.4,   34.04,8F7D
SD20,26,03,01,07,30,39,    0.22,   22.56, 1021.09,   -67.1,   34.65,07FB
SD20,26,03,01,07,40,39,    0.22,   22.65, 1021.15,   -67.6,   34.84,6FA7
SD20,26,03,01,07,50,39,    0.22,   22.76, 1021.20,   -68.1,   34.83,DFFC
SD20,26,03,01,08,10,39,    0.22,   22.92, 1021.45,   -70.1,   34.52,CDF1
SD20,26,03,01,08,20,39,    0.22,   23.04, 1021.45,   -70.2,   34.21,B3EA
SD20,26,03,01,08,30,39,    0.23,   23.05, 1021.40,   -69.7,   34.89,F2A5
SD20,26,03,01,08,40,39,    0.23,   23.08, 1021.34,   -69.2,   34.39,6DA4
SD20,26,03,01,09,00,39,    0.23,   23.35, 1021.35,   -69.3,   34.16,9FFA
SD20,26,03,01,09,10,39,    0.23,   23.52, 1021.30,   -68.9,   33.92,B9AB
SD20,26,03,01,09,20,39,    0.23,   23.51, 1021.30,   -69.0,   33.97,B464
SD20,26,03,01,09,30,39,    0.23,   23.48, 1021.18,   -67.9,   33.84,64D8
SD20,26,03,01,09,40,39,    0.23,   23.43, 1021.21,   -68.1,   33.68,84FD
SD20,26,03,01,09,50,39,    0.23,   23.40, 1021.22,   -68.0,   33.79,4318
SD20,26,03,01,10,00,39,    0.23,   23.62, 1021.20,   -68.1,   33.77,598A
SD20,26,03,01,10,10,39,    0.23,   23.70, 1021.21,   -68.2,   33.58,D61C
SD20,26,03,01,10,20,39,    0.23,   23.56, 1021.19,   -68.0,   33.81,8159
SD20,26,03,01,10,30,39,    0.23,   23.51, 1021.17,   -67.8,   33.74,87D1
SD20,26,03,01,10,40,39,    0.23,   23.49, 1021.13,   -67.5,   34.84,02C8
SD20,26,03,01,10,50,39,    0.23,   23.61, 1021.13,   -67.5,   35.08,E5CF
SD20,26,03,01,11,00,39,    0.23,   23.64, 1021.03,   -66.7,   35.29,41C7
SD20,26,03,01,11,10,39,    0.23,   23.69, 1020.97,   -66.2,   34.65,E2CB
SD20,26,03,01,11,20,39,    0.23,   23.61, 1020.92,   -65.7,   34.56,705E
SD20,26,03,01,11,30,39,    0.23,   23.61, 1020.92,   -65.7,   34.42,CFD9
SD20,26,03,01,11,40,39,    0.23,   23.60, 1020.78,   -64.6,   35.19,37E9
SD20,26,03,01,11,50,39,    0.23,   24.02, 1020.83,   -65.0,   34.79,A33A
SD20,26,03,01,12,00,39,    0.23,   24.06, 1020.84,   -65.1,   34.63,1DD1
SD20,26,03,01,12,10,39,    0.23,   23.86, 1020.80,   -64.8,   34.50,6AC2
SD20,26,03,01,12,20,39,    0.23,   23.67, 1020.62,   -63.3,   34.58,C9B8
SD20,26,03,01,12,30,39,    0.23,   23.57, 1020.57,   -62.9,   34.57,4CCE
SD20,26,03,01,12,40,39,    0.23,   23.51, 1020.45,   -61.9,   34.53,3E51
SD20,26,03,01,12,50,39,    0.23,   23.43, 1020.28,   -60.4,   34.73,00E3
SD20,26,03,01,13,00,39,    0.23,   23.24, 1020.14,   -59.3,   34.06,9B3F
