SD,20,26,01,25,10,53,33,   21.00,   20.53, 1025.46,  -103.2,   36.96
SD,20,26,01,25,11,03,33,   21.00,   20.53, 1025.46,  -103.3,   37.04
SD,20,26,01,25,11,13,33,   21.00,   20.62, 1025.36,  -102.4,   37.02
SD,20,26,01,25,11,23,33,   21.00,   20.79, 1025.33,  -102.2,   36.80
SD,20,26,01,25,11,33,33,   21.00,   20.88, 1025.21,  -101.2,   36.76
SD,20,26,01,25,11,43,33,   21.00,   21.07, 1025.06,  -100.0,   36.62
SD,20,26,01,25,11,53,33,   21.00,   21.16, 1025.05,   -99.9,   36.51
SD,20,26,01,25,12,03,33,   21.00,   21.11, 1024.83,   -98.0,   36.25
SD,20,26,01,25,12,13,33,   21.00,   21.04, 1024.71,   -97.1,   35.99
SD,20,26,01,25,12,23,33,   21.00,   20.77, 1024.63,   -96.4,   36.31
SD,20,26,01,25,12,33,33,   21.00,   20.75, 1024.55,   -95.7,   36.47
SD,20,26,01,25,12,43,33,   21.00,   20.79, 1024.49,   -95.2,   36.26
SD,20,26,01,25,12,53,33,   21.00,   20.82, 1024.38,   -94.3,   36.07
SD,20,26,01,25,13,03,33,   21.00,   20.96, 1024.26,   -93.3,   35.89
SD,20,26,01,25,13,13,33,   21.00,   21.07, 1024.26,   -93.3,   35.57
SD,20,26,01,25,13,23,33,   21.00,   21.06, 1024.26,   -93.4,   35.64
SD,20,26,01,25,13,33,33,   21.00,   20.98, 1024.31,   -93.7,   35.53
SD,20,26,01,25,13,43,33,   21.00,   20.90, 1024.24,   -93.2,   35.93
SD,20,26,01,25,13,53,33,   21.00,   20.89, 1024.18,   -92.7,   36.04
SD,20,26,01,25,14,03,33,   21.00,   20.89, 1024.18,   -92.7,   36.07
SD,20,26,01,25,14,13,33,   21.00,   20.91, 1024.15,   -92.4,   36.06
SD,20,26,01,25,14,23,33,   21.00,   20.91, 1024.11,   -92.1,   36.06
SD,20,26,01,25,14,33,33,   21.00,   20.89, 1024.03,   -91.4,   36.14
SD,20,26,01,25,14,43,33,   21.00,   20.95, 1023.89,   -90.3,   36.18
SD,20,26,01,25,14,53,33,   21.00,   21.04, 1023.85,   -90.0,   36.25
SD,20,26,01,25,15,03,33,   21.00,   21.10, 1023.86,   -90.0,   36.27
SD,20,26,01,25,15,13,33,   21.00,   21.17, 1023.91,   -90.4,   36.35
SD,20,26,01,25,15,23,33,   21.00,   21.16, 1023.91,   -90.5,   36.21
SD,20,26,01,25,15,33,33,   21.00,   21.09, 1023.86,   -90.0,   36.24
SD,20,26,01,25,15,43,33,   21.00,   21.13, 1023.82,   -89.7,   36.25
SD,20,26,01,25,15,53,33,   21.00,   21.16, 1023.72,   -88.9,   36.03
SD,20,26,01,25,16,03,33,   21.00,   21.20, 1023.69,   -88.6,   36.16
SD,20,26,01,25,16,13,33,   21.00,   21.18, 1023.59,   -87.8,   36.11
SD,20,26,01,25,16,23,33,   21.00,   21.25, 1023.48,   -86.9,   36.02
SD,20,26,01,25,16,33,33,   21.00,   21.31, 1023.52,   -87.3,   36.03
SD,20,26,01,25,16,43,33,   21.00,   21.37, 1023.38,   -86.1,   35.95
SD,20,26,01,25,16,53,33,   21.00,   21.38, 1023.38,   -86.1,   36.02
SD,20,26,01,25,17,03,33,   21.00,   21.34, 1023.42,   -86.4,   35.94
SD,20,26,01,25,17,13,33,   21.00,   21.31, 1023.44,   -86.5,   35.98
SD,20,26,01,25,17,23,33,   21.00,   21.29, 1023.42,   -86.4,   36.62
SD,20,26,01,25,17,33,33,   22.00,   21.37, 1023.44,   -86.6,   36.89
SD,20,26,01,25,17,43,33,   22.00,   21.40, 1023.29,   -85.3,   37.10
SD,20,26,01,25,17,53,33,   22.00,   21.55, 1023.25,   -85.0,   37.09
SD,20,26,01,25,18,03,33,   22.00,   21.71, 1023.17,   -84.4,   36.89
SD,20,26,01,25,18,13,33,   22.00,   21.71, 1023.19,   -84.6,   37.09
SD,20,26,01,25,18,23,33,   22.00,   21.78, 1023.16,   -84.3,   36.49
SD,20,26,01,25,18,33,33,   22.00,   21.73, 1023.18,   -84.4,   36.31
SD,20,26,01,25,18,43,33,   21.00,   21.64, 1023.21,   -84.7,   36.34
SD,20,26,01,25,18,53,33,   21.00,   21.56, 1023.28,   -85.3,   36.34
SD,20,26,01,25,19,03,33,   21.00,   21.47, 1023.25,   -85.0,   36.35
SD,20,26,01,25,19,13,33,   21.00,   21.39, 1023.24,   -84.9,   36.55
SD,20,26,01,25,19,23,33,   21.00,   21.18, 1023.29,   -85.3,   37.29
SD,20,26,01,25,19,33,33,   21.00,   21.20, 1023.25,   -85.0,   37.48
SD,20,26,01,25,19,43,33,   21.00,   21.23, 1023.31,   -85.5,   37.46
SD,20,26,01,25,19,53,33,   21.00,   21.27, 1023.35,   -85.8,   37.44
SD,20,26,01,25,20,03,33,   21.00,   21.29, 1023.39,   -86.2,   37.38
SD,20,26,01,25,20,13,33,   21.00,   21.34, 1023.36,   -85.9,   37.27
SD,20,26,01,25,20,23,33,   22.00,   21.41, 1023.32,   -85.6,   37.28
SD,20,26,01,25,20,33,33,   22.00,   21.46, 1023.31,   -85.5,   37.01
SD,20,26,01,25,20,43,33,   22.00,   21.63, 1023.30,   -85.4,   36.77
SD,20,26,01,25,20,53,33,   22.00,   21.74, 1023.20,   -84.6,   36.85
SD,20,26,01,25,21,03,33,   22.00,   21.87, 1023.24,   -85.0,   36.72
SD,20,26,01,25,21,13,33,   22.00,   21.88, 1023.32,   -85.6,   36.57
SD,20,26,01,25,21,23,33,   22.00,   21.96, 1023.39,   -86.2,   37.18
SD,20,26,01,25,21,33,33,   22.00,   21.88, 1023.44,   -86.6,   37.51
SD,20,26,01,25,21,43,33,   22.00,   21.88, 1023.52,   -87.2,   37.73
SD,20,26,01,25,21,53,33,   22.00,   21.87, 1023.48,   -86.9,   37.74
SD,20,26,01,25,22,03,33,   22.00,   21.97, 1023.56,   -87.6,   37.13
SD,20,26,01,25,22,13,33,   22.00,   21.99, 1023.64,   -88.3,   37.26
SD,20,26,01,25,22,23,33,   22.00,   22.05, 1023.69,   -88.6,   37.17
SD,20,26,01,25,22,33,33,   22.00,   22.10, 1023.70,   -88.7,   37.13
SD,20,26,01,25,22,43,33,   22.00,   22.13, 1023.73,   -89.0,   37.04
SD,20,26,01,25,22,53,33,   22.00,   22.14, 1023.80,   -89.5,   37.07
SD,20,26,01,25,23,03,33,   22.00,   22.14, 1023.81,   -89.6,   37.16
SD,20,26,01,25,23,13,34,   22.00,   22.10, 1023.84,   -89.9,   37.26
SD,20,26,01,25,23,23,33,   22.00,   21.88, 1023.92,   -90.6,   36.73
SD,20,26,01,25,23,33,33,   22.00,   21.86, 1023.91,   -90.5,   36.38
SD,20,26,01,25,23,43,33,   22.00,   21.72, 1023.82,   -89.7,   36.44
